miRNA	Position in the UTR	seed match	context++ score	context++ score percentile	weighted context++ score	conserved branch length	Pct	Predicted relative KD
hsa-miR-26b-5p	565-571	7mer-m8	-0.21	 94	-0.21	3.598	0.38	-4.424
hsa-miR-4465	565-571	7mer-m8	-0.22	 94	-0.22	3.598	0.38	-4.906
hsa-miR-26a-5p	565-571	7mer-m8	-0.21	 94	-0.21	3.598	0.38	-4.424
hsa-miR-211-5p	665-672	8mer	-0.36	 98	-0.36	3.800	0.46	-4.897
hsa-miR-204-5p	665-672	8mer	-0.37	 98	-0.37	3.800	0.46	-4.897
hsa-miR-190a-5p	717-724	8mer	-0.30	 95	-0.30	2.083	< 0.1	-4.399
hsa-miR-190b	717-724	8mer	-0.30	 95	-0.30	2.083	< 0.1	-4.399
hsa-miR-4458	1107-1113	7mer-1A	-0.30	 88	-0.30	4.220	0.81	-3.623
hsa-miR-98-5p	1107-1113	7mer-1A	-0.28	 87	-0.28	4.220	0.81	-5.084
hsa-miR-4500	1107-1113	7mer-1A	-0.28	 87	-0.28	4.220	0.81	-5.084
hsa-let-7f-5p	1107-1113	7mer-1A	-0.27	 85	-0.27	4.220	0.81	-5.084
hsa-let-7c-5p	1107-1113	7mer-1A	-0.27	 85	-0.27	4.220	0.81	-5.084
hsa-let-7a-5p	1107-1113	7mer-1A	-0.27	 85	-0.27	4.220	0.81	-5.084
hsa-let-7e-5p	1107-1113	7mer-1A	-0.27	 85	-0.27	4.220	0.81	-4.156
hsa-let-7d-5p	1107-1113	7mer-1A	-0.28	 85	-0.28	4.220	0.81	-4.432
hsa-let-7i-5p	1107-1113	7mer-1A	-0.25	 84	-0.25	4.220	0.81	-5.084
hsa-let-7b-5p	1107-1113	7mer-1A	-0.25	 84	-0.25	4.220	0.81	-5.084
hsa-let-7g-5p	1107-1113	7mer-1A	-0.25	 83	-0.25	4.220	0.81	-5.084
hsa-miR-20a-5p	1214-1220	7mer-m8	-0.29	 98	-0.29	4.220	0.73	-4.212
hsa-miR-106b-5p	1214-1220	7mer-m8	-0.29	 98	-0.29	4.220	0.73	-3.995
hsa-miR-526b-3p	1214-1220	7mer-m8	-0.25	 98	-0.25	4.220	0.73	-4.278
hsa-miR-20b-5p	1214-1220	7mer-m8	-0.28	 97	-0.28	4.220	0.73	-4.734
hsa-miR-106a-5p	1214-1220	7mer-m8	-0.28	 97	-0.28	4.220	0.73	-4.562
hsa-miR-17-5p	1214-1220	7mer-m8	-0.28	 97	-0.28	4.220	0.73	-4.593
hsa-miR-93-5p	1214-1220	7mer-m8	-0.28	 97	-0.28	4.220	0.73	-4.456
hsa-miR-519d-3p	1214-1220	7mer-m8	-0.29	 97	-0.29	4.220	0.73	-4.453
hsa-miR-32-5p	1231-1237	7mer-1A	-0.15	 87	-0.15	4.171	0.68	-3.381
hsa-miR-25-3p	1231-1237	7mer-1A	-0.13	 86	-0.13	4.171	0.68	-3.611
hsa-miR-367-3p	1231-1237	7mer-1A	-0.12	 83	-0.12	4.171	0.68	-3.513
hsa-miR-92a-3p	1231-1237	7mer-1A	-0.09	 82	-0.09	4.171	0.68	-3.825
hsa-miR-363-3p	1231-1237	7mer-1A	-0.11	 82	-0.11	4.171	0.68	-3.480
hsa-miR-92b-3p	1231-1237	7mer-1A	-0.09	 82	-0.09	4.171	0.68	-3.706
hsa-miR-196a-5p	1255-1261	7mer-m8	-0.36	 97	-0.36	4.145	0.76	-4.143
hsa-miR-196b-5p	1255-1261	7mer-m8	-0.36	 97	-0.36	4.145	0.76	-4.143
hsa-let-7b-5p	1256-1262	7mer-m8	-0.44	 97	-0.44	4.585	0.86	-5.549
hsa-let-7f-5p	1256-1262	7mer-m8	-0.45	 97	-0.45	4.585	0.86	-5.549
hsa-miR-4500	1256-1262	7mer-m8	-0.42	 96	-0.41	4.585	0.86	-5.549
hsa-let-7e-5p	1256-1262	7mer-m8	-0.44	 96	-0.44	4.585	0.86	-4.747
hsa-let-7i-5p	1256-1262	7mer-m8	-0.44	 96	-0.44	4.585	0.86	-5.549
hsa-let-7a-5p	1256-1262	7mer-m8	-0.44	 96	-0.44	4.585	0.86	-5.549
hsa-let-7c-5p	1256-1262	7mer-m8	-0.44	 96	-0.44	4.585	0.86	-5.549
hsa-miR-98-5p	1256-1262	7mer-m8	-0.44	 96	-0.44	4.585	0.86	-5.549
hsa-let-7g-5p	1256-1262	7mer-m8	-0.44	 96	-0.44	4.585	0.86	-5.549
hsa-let-7d-5p	1256-1262	7mer-m8	-0.43	 96	-0.43	4.585	0.86	-5.664
hsa-miR-4458	1256-1262	7mer-m8	-0.41	 95	-0.40	4.585	0.86	-5.076
hsa-miR-543	1264-1271	8mer	-0.16	 96	-0.16	2.045	N/A	-3.957
hsa-miR-103a-3p	1301-1307	7mer-m8	-0.32	 97	-0.32	3.684	0.58	-3.899
hsa-miR-107	1301-1307	7mer-m8	-0.32	 97	-0.32	3.684	0.58	-3.899
hsa-miR-497-5p	1302-1309	8mer	-0.51	 99	-0.51	4.310	0.85	-4.879
hsa-miR-16-5p	1302-1309	8mer	-0.52	 99	-0.52	4.310	0.85	-4.941
hsa-miR-15b-5p	1302-1309	8mer	-0.49	 99	-0.49	4.310	0.85	-5.012
hsa-miR-424-5p	1302-1309	8mer	-0.51	 99	-0.51	4.310	0.85	-5.516
hsa-miR-15a-5p	1302-1309	8mer	-0.51	 99	-0.51	4.310	0.85	-5.012
hsa-miR-195-5p	1302-1309	8mer	-0.52	 99	-0.52	4.310	0.85	-5.012
hsa-miR-6838-5p	1302-1309	8mer	-0.53	 99	-0.52	4.310	0.85	-5.295
hsa-miR-33a-5p	1318-1325	8mer	-0.20	 97	-0.20	2.508	< 0.1	-3.972
hsa-miR-33b-5p	1318-1325	8mer	-0.20	 97	-0.20	2.508	< 0.1	-4.423
hsa-miR-4465	1504-1510	7mer-1A	-0.26	 96	-0.25	4.049	0.57	-3.625
hsa-miR-26b-5p	1504-1510	7mer-1A	-0.23	 95	-0.23	4.049	0.57	-3.459
hsa-miR-26a-5p	1504-1510	7mer-1A	-0.23	 95	-0.23	4.049	0.57	-3.459
hsa-miR-1297	1504-1510	7mer-1A	-0.23	 95	-0.23	4.049	0.57	-3.459
hsa-miR-142-3p.1	1562-1569	8mer	-0.44	 97	-0.44	3.535	0.70	-5.571
hsa-miR-4458	1619-1625	7mer-1A	-0.26	 82	-0.25	4.362	0.83	-3.438
hsa-let-7d-5p	1619-1625	7mer-1A	-0.25	 81	-0.24	4.362	0.83	-3.330
hsa-let-7b-5p	1619-1625	7mer-1A	-0.22	 79	-0.22	4.362	0.83	-3.955
hsa-let-7i-5p	1619-1625	7mer-1A	-0.22	 79	-0.22	4.362	0.83	-3.955
hsa-miR-98-5p	1619-1625	7mer-1A	-0.22	 78	-0.22	4.362	0.83	-3.955
hsa-let-7f-5p	1619-1625	7mer-1A	-0.22	 78	-0.22	4.362	0.83	-3.955
hsa-let-7a-5p	1619-1625	7mer-1A	-0.22	 78	-0.22	4.362	0.83	-3.955
hsa-let-7e-5p	1619-1625	7mer-1A	-0.22	 78	-0.22	4.362	0.83	-4.080
hsa-let-7c-5p	1619-1625	7mer-1A	-0.22	 78	-0.22	4.362	0.83	-3.955
hsa-let-7g-5p	1619-1625	7mer-1A	-0.22	 78	-0.22	4.362	0.83	-3.955
hsa-miR-4500	1619-1625	7mer-1A	-0.20	 75	-0.19	4.362	0.83	-3.955
hsa-let-7i-5p	1668-1674	7mer-m8	-0.35	 93	-0.34	4.572	0.86	-4.770
hsa-let-7g-5p	1668-1674	7mer-m8	-0.35	 93	-0.34	4.572	0.86	-4.770
hsa-let-7d-5p	1668-1674	7mer-m8	-0.36	 93	-0.36	4.572	0.86	-4.771
hsa-let-7c-5p	1668-1674	7mer-m8	-0.34	 92	-0.33	4.572	0.86	-4.770
hsa-let-7a-5p	1668-1674	7mer-m8	-0.34	 92	-0.33	4.572	0.86	-4.770
hsa-let-7e-5p	1668-1674	7mer-m8	-0.34	 92	-0.33	4.572	0.86	-4.359
hsa-let-7b-5p	1668-1674	7mer-m8	-0.34	 92	-0.33	4.572	0.86	-4.770
hsa-miR-98-5p	1668-1674	7mer-m8	-0.34	 92	-0.33	4.572	0.86	-4.770
hsa-let-7f-5p	1668-1674	7mer-m8	-0.34	 92	-0.33	4.572	0.86	-4.770
hsa-miR-4500	1668-1674	7mer-m8	-0.33	 91	-0.32	4.572	0.86	-4.770
hsa-miR-4458	1668-1674	7mer-m8	-0.32	 89	-0.31	4.572	0.86	-4.307
hsa-miR-1297	1867-1873	7mer-1A	-0.21	 94	-0.21	4.157	0.60	-2.905
hsa-miR-26a-5p	1867-1873	7mer-1A	-0.19	 93	-0.19	4.157	0.60	-2.905
hsa-miR-4465	1867-1873	7mer-1A	-0.21	 93	-0.21	4.157	0.60	-2.950
hsa-miR-26b-5p	1867-1873	7mer-1A	-0.19	 92	-0.19	4.157	0.60	-2.905
hsa-miR-130a-5p	1992-1998	7mer-m8	-0.18	 89	-0.17	4.718	0.24	-3.107
hsa-miR-23c	1992-1998	7mer-m8	-0.18	 89	-0.17	4.718	0.24	-3.231
hsa-miR-23b-3p	1992-1998	7mer-m8	-0.15	 87	-0.15	4.718	0.24	-3.231
hsa-miR-23a-3p	1992-1998	7mer-m8	-0.15	 87	-0.15	4.718	0.24	-3.231
hsa-miR-4782-3p	2504-2510	7mer-1A	-0.16	 85	-0.16	4.576	0.49	-4.016
hsa-miR-6766-3p	2504-2510	7mer-1A	-0.14	 84	-0.13	4.576	0.49	-4.016
hsa-miR-219a-5p	2504-2510	7mer-1A	-0.14	 83	-0.13	4.576	0.49	-4.053
hsa-miR-196a-5p	2520-2526	7mer-m8	-0.42	 98	-0.41	4.754	0.83	-3.933
hsa-miR-196b-5p	2520-2526	7mer-m8	-0.42	 98	-0.41	4.754	0.83	-3.933
hsa-let-7f-5p	2521-2527	7mer-m8	-0.46	 97	-0.45	4.901	0.91	-5.914
hsa-let-7a-5p	2521-2527	7mer-m8	-0.46	 97	-0.45	4.901	0.91	-5.914
hsa-let-7g-5p	2521-2527	7mer-m8	-0.46	 97	-0.45	4.901	0.91	-5.914
hsa-let-7b-5p	2521-2527	7mer-m8	-0.48	 97	-0.47	4.901	0.91	-5.914
hsa-let-7e-5p	2521-2527	7mer-m8	-0.46	 97	-0.45	4.901	0.91	-5.108
hsa-let-7c-5p	2521-2527	7mer-m8	-0.46	 97	-0.45	4.901	0.91	-5.914
hsa-miR-4500	2521-2527	7mer-m8	-0.43	 97	-0.43	4.901	0.91	-5.914
hsa-let-7i-5p	2521-2527	7mer-m8	-0.47	 97	-0.46	4.901	0.91	-5.914
hsa-miR-98-5p	2521-2527	7mer-m8	-0.46	 97	-0.45	4.901	0.91	-5.914
hsa-let-7d-5p	2521-2527	7mer-m8	-0.42	 96	-0.42	4.901	0.91	-5.910
hsa-miR-4458	2521-2527	7mer-m8	-0.45	 96	-0.44	4.901	0.91	-5.142
hsa-miR-4458	2541-2547	7mer-1A	-0.32	 90	-0.32	4.901	0.89	-3.935
hsa-miR-4500	2541-2547	7mer-1A	-0.28	 87	-0.28	4.901	0.89	-4.926
hsa-let-7d-5p	2541-2547	7mer-1A	-0.29	 86	-0.28	4.901	0.89	-4.288
hsa-let-7b-5p	2541-2547	7mer-1A	-0.26	 85	-0.26	4.901	0.89	-4.926
hsa-let-7e-5p	2541-2547	7mer-1A	-0.26	 84	-0.26	4.901	0.89	-4.360
hsa-miR-98-5p	2541-2547	7mer-1A	-0.26	 84	-0.26	4.901	0.89	-4.926
hsa-let-7a-5p	2541-2547	7mer-1A	-0.26	 84	-0.26	4.901	0.89	-4.926
hsa-let-7g-5p	2541-2547	7mer-1A	-0.26	 84	-0.26	4.901	0.89	-4.926
hsa-let-7c-5p	2541-2547	7mer-1A	-0.26	 84	-0.26	4.901	0.89	-4.926
hsa-let-7i-5p	2541-2547	7mer-1A	-0.26	 84	-0.26	4.901	0.89	-4.926
hsa-let-7f-5p	2541-2547	7mer-1A	-0.26	 84	-0.26	4.901	0.89	-4.926
hsa-miR-532-3p	2629-2636	8mer	-0.50	 99	-0.49	2.921	N/A	-3.869
hsa-miR-150-5p	2630-2636	7mer-1A	-0.13	 92	-0.13	4.901	< 0.1	-2.179
hsa-miR-132-3p	2649-2655	7mer-m8	-0.25	 96	-0.25	4.389	0.46	-3.475
hsa-miR-212-3p	2649-2655	7mer-m8	-0.22	 95	-0.21	4.389	0.46	-3.707
Poorly conserved sites
hsa-miR-5680	17-23	7mer-1A	-0.01	 53	-0.01	0.000	N/A	N/A
hsa-miR-4650-3p	19-25	7mer-m8	-0.25	 89	-0.25	0.000	N/A	N/A
hsa-miR-6831-5p	20-26	7mer-m8	-0.27	 94	-0.27	0.433	N/A	N/A
hsa-miR-3927-3p	20-26	7mer-m8	-0.26	 93	-0.26	0.433	N/A	N/A
hsa-miR-202-3p	22-28	7mer-1A	-0.15	 78	-0.15	0.271	N/A	N/A
hsa-miR-7162-3p	23-29	7mer-m8	-0.26	 97	-0.26	0.000	N/A	N/A
hsa-miR-7160-5p	24-31	8mer	-0.46	 99	-0.46	0.300	N/A	N/A
hsa-miR-8077	25-31	7mer-1A	-0.10	 90	-0.10	0.000	N/A	N/A
hsa-miR-4663	25-31	7mer-1A	-0.12	 85	-0.12	0.300	N/A	N/A
hsa-miR-93-3p	26-32	7mer-m8	-0.17	 90	-0.17	0.743	N/A	N/A
hsa-miR-5088-3p	47-53	7mer-1A	-0.12	 82	-0.12	0.000	N/A	N/A
hsa-miR-4287	48-55	8mer	-0.39	 99	-0.39	0.300	N/A	N/A
hsa-miR-4685-3p	48-55	8mer	-0.40	 99	-0.40	0.300	N/A	N/A
hsa-miR-6867-3p	49-56	8mer	-0.46	 99	-0.46	0.223	N/A	N/A
hsa-miR-7113-3p	49-55	7mer-1A	-0.17	 89	-0.17	0.306	N/A	N/A
hsa-miR-4469	49-55	7mer-1A	-0.07	 82	-0.07	0.226	N/A	N/A
hsa-miR-629-3p	50-56	7mer-m8	-0.18	 95	-0.18	0.000	N/A	N/A
hsa-miR-4713-5p	50-56	7mer-1A	-0.20	 89	-0.20	0.000	N/A	N/A
hsa-miR-942-5p	52-58	7mer-1A	-0.04	 60	-0.04	0.234	N/A	-1.817
hsa-miR-6740-3p	53-60	8mer	-0.25	 92	-0.25	0.000	N/A	N/A
hsa-miR-4711-3p	55-61	7mer-m8	-0.15	 82	-0.15	0.000	N/A	N/A
hsa-miR-6733-3p	57-63	7mer-m8	-0.25	 95	-0.25	0.223	N/A	N/A
hsa-miR-6499-3p	58-65	8mer	-0.33	 98	-0.33	0.000	N/A	N/A
hsa-miR-17-3p	60-66	7mer-m8	-0.16	 93	-0.16	0.444	N/A	N/A
hsa-miR-509-5p	61-67	7mer-m8	-0.14	 90	-0.14	0.303	N/A	N/A
hsa-miR-509-3-5p	61-67	7mer-m8	-0.13	 89	-0.13	0.303	N/A	N/A
hsa-miR-4418	61-67	7mer-m8	-0.13	 88	-0.13	0.303	N/A	N/A
hsa-miR-6890-3p	63-69	7mer-1A	-0.06	 80	-0.06	0.260	N/A	N/A
hsa-miR-5587-5p	66-72	7mer-m8	-0.21	 91	-0.21	0.223	N/A	N/A
hsa-miR-6718-5p	68-74	7mer-m8	-0.32	 97	-0.32	0.306	N/A	N/A
hsa-miR-203b-5p	68-74	7mer-m8	-0.32	 97	-0.32	0.306	N/A	N/A
hsa-miR-7153-3p	87-93	7mer-m8	-0.24	 95	-0.24	0.000	N/A	N/A
hsa-miR-591	88-94	7mer-m8	-0.27	 92	-0.27	0.016	N/A	N/A
hsa-miR-6502-3p	89-95	7mer-m8	-0.22	 96	-0.22	0.483	N/A	N/A
hsa-miR-3978	94-100	7mer-m8	-0.02	 64	-0.02	0.000	N/A	N/A
hsa-miR-4796-3p	98-104	7mer-m8	-0.10	 90	-0.10	0.000	N/A	N/A
hsa-miR-1245b-3p	104-110	7mer-m8	-0.11	 81	-0.11	0.000	N/A	N/A
hsa-miR-361-3p	129-135	7mer-1A	-0.10	 69	-0.10	0.016	N/A	0.269
hsa-miR-6887-3p	133-139	7mer-m8	-0.20	 79	-0.20	0.000	N/A	N/A
hsa-miR-4286	148-154	7mer-1A	-0.17	 89	-0.17	0.000	N/A	N/A
hsa-miR-629-3p	151-158	8mer	-0.23	 97	-0.23	0.000	N/A	N/A
hsa-miR-6867-3p	151-157	7mer-1A	-0.20	 90	-0.20	0.000	N/A	N/A
hsa-miR-4713-5p	151-157	7mer-1A	-0.20	 88	-0.20	0.000	N/A	N/A
hsa-miR-8070	157-163	7mer-m8	-0.15	 89	-0.15	0.000	N/A	N/A
hsa-miR-4501	159-165	7mer-1A	-0.08	 81	-0.08	0.226	N/A	N/A
hsa-miR-154-5p	163-169	7mer-m8	-0.21	 93	-0.21	2.256	N/A	-3.701
hsa-miR-7856-5p	167-174	8mer	-0.25	 98	-0.25	0.000	N/A	N/A
hsa-miR-4477b	167-173	7mer-1A	-0.28	 96	-0.28	0.000	N/A	N/A
hsa-miR-4540	175-181	7mer-m8	-0.40	 97	-0.40	0.000	N/A	N/A
hsa-miR-6838-3p	175-181	7mer-1A	-0.25	 95	-0.25	0.000	N/A	N/A
hsa-miR-1277-5p	180-186	7mer-1A	-0.01	 40	-0.01	0.000	N/A	-2.332
hsa-miR-889-3p	181-187	7mer-1A	-0.01	 47	-0.01	0.164	N/A	-2.854
hsa-miR-520d-5p	195-202	8mer	-0.23	 99	-0.23	0.031	N/A	-5.076
hsa-miR-524-5p	195-202	8mer	-0.23	 99	-0.23	0.031	N/A	-5.076
hsa-miR-7515	203-210	8mer	-0.46	 99	-0.46	0.000	N/A	N/A
hsa-miR-6864-5p	204-210	7mer-m8	-0.29	 96	-0.29	0.000	N/A	N/A
hsa-miR-3179	204-210	7mer-1A	-0.20	 86	-0.20	0.000	N/A	-3.215
hsa-miR-3611	206-212	7mer-m8	-0.13	 87	-0.13	0.000	N/A	-2.375
hsa-miR-8052	211-218	8mer	-0.50	 99	-0.50	0.223	N/A	N/A
hsa-miR-3199	211-218	8mer	-0.49	 99	-0.49	0.223	N/A	N/A
hsa-miR-365a-5p	212-218	7mer-1A	-0.15	 84	-0.15	0.322	N/A	N/A
hsa-miR-365b-5p	212-218	7mer-1A	-0.15	 84	-0.15	0.322	N/A	N/A
hsa-miR-7851-3p	215-221	7mer-m8	-0.34	 97	-0.34	0.000	N/A	N/A
hsa-miR-5096	225-231	7mer-1A	-0.01	 44	-0.01	0.306	N/A	N/A
hsa-miR-335-3p	226-232	7mer-1A	-0.01	 40	-0.01	0.239	N/A	N/A
hsa-miR-4328	229-235	7mer-m8	-0.02	 47	-0.02	0.000	N/A	N/A
hsa-miR-3120-3p	234-240	7mer-1A	-0.11	 84	-0.11	0.326	N/A	N/A
hsa-miR-331-3p	245-251	7mer-1A	-0.17	 91	-0.17	2.410	N/A	-2.201
hsa-miR-6801-3p	245-251	7mer-1A	-0.13	 75	-0.13	0.000	N/A	N/A
hsa-miR-6810-3p	245-251	7mer-1A	-0.10	 72	-0.10	0.000	N/A	N/A
hsa-miR-3657	248-255	8mer	-0.44	 98	-0.44	0.223	N/A	N/A
hsa-miR-4669	249-255	7mer-1A	-0.17	 87	-0.17	0.000	N/A	N/A
hsa-miR-320e	254-260	7mer-1A	-0.11	 80	-0.11	0.000	N/A	N/A
hsa-miR-2053	258-264	7mer-1A	-0.01	 46	-0.01	0.000	N/A	N/A
hsa-miR-495-5p	266-272	7mer-m8	-0.33	 99	-0.33	0.485	N/A	N/A
hsa-miR-548n	269-275	7mer-1A	-0.15	 97	-0.15	0.043	N/A	N/A
hsa-miR-548az-5p	269-275	7mer-1A	-0.11	 94	-0.11	0.223	N/A	N/A
hsa-miR-548t-5p	269-275	7mer-1A	-0.09	 93	-0.09	0.223	N/A	N/A
hsa-miR-570-3p	281-287	7mer-m8	-0.20	 95	-0.19	0.000	N/A	N/A
hsa-miR-3653-3p	292-298	7mer-1A	-0.10	 90	-0.10	0.000	N/A	N/A
hsa-miR-3658	292-298	7mer-m8	-0.06	 83	-0.06	0.000	N/A	N/A
hsa-miR-154-5p	296-302	7mer-1A	-0.10	 80	-0.10	2.506	N/A	-2.174
hsa-miR-411-5p.2	300-306	7mer-1A	-0.11	 76	-0.11	2.667	N/A	-3.704
hsa-miR-5688	309-315	7mer-m8	-0.08	 92	-0.08	1.704	N/A	-5.069
hsa-miR-495-3p	309-315	7mer-m8	-0.04	 89	-0.04	1.704	N/A	-5.491
hsa-miR-3065-5p	310-317	8mer	-0.10	 82	-0.10	0.000	N/A	N/A
hsa-miR-7159-5p	311-317	7mer-m8	-0.14	 89	-0.14	0.000	N/A	N/A
hsa-miR-1288-5p	315-322	8mer	-0.25	 97	-0.25	0.000	N/A	N/A
hsa-miR-5100	316-322	7mer-m8	-0.19	 94	-0.18	0.000	N/A	N/A
hsa-miR-361-5p	318-325	8mer	-0.22	 92	-0.21	1.463	N/A	-4.706
hsa-miR-2115-3p	318-324	7mer-1A	-0.10	 77	-0.09	0.159	N/A	-3.383
hsa-miR-374a-3p	319-325	7mer-m8	-0.05	 66	-0.05	0.031	N/A	-3.392
hsa-miR-6777-3p	329-335	7mer-m8	-0.14	 84	-0.14	0.000	N/A	N/A
hsa-miR-7108-3p	334-340	7mer-m8	-0.36	 94	-0.36	0.000	N/A	N/A
hsa-miR-6862-3p	338-345	8mer	-0.35	 97	-0.35	0.000	N/A	N/A
hsa-miR-6784-3p	338-345	8mer	-0.33	 96	-0.33	0.000	N/A	N/A
hsa-miR-1229-3p	339-346	8mer	-0.27	 95	-0.27	0.000	N/A	N/A
hsa-miR-6511a-3p	339-345	7mer-1A	-0.15	 79	-0.15	0.000	N/A	N/A
hsa-miR-6511b-3p	339-345	7mer-1A	-0.15	 79	-0.15	0.000	N/A	N/A
hsa-miR-6771-3p	357-363	7mer-1A	-0.01	 48	-0.01	0.000	N/A	N/A
hsa-miR-6831-3p	361-367	7mer-1A	-0.06	 70	-0.06	0.000	N/A	N/A
hsa-miR-8062	367-373	7mer-m8	-0.04	 66	-0.04	0.000	N/A	N/A
hsa-miR-6499-3p	370-376	7mer-1A	-0.12	 89	-0.12	0.000	N/A	N/A
hsa-miR-143-5p	371-377	7mer-m8	-0.13	 92	-0.13	0.000	N/A	N/A
hsa-miR-6499-3p	375-381	7mer-1A	-0.12	 90	-0.12	0.000	N/A	N/A
hsa-miR-4666b	380-386	7mer-1A	-0.09	 74	-0.09	0.000	N/A	N/A
hsa-miR-5011-3p	380-386	7mer-1A	-0.05	 71	-0.05	0.223	N/A	N/A
hsa-miR-3680-3p	381-387	7mer-m8	-0.08	 83	-0.08	0.000	N/A	N/A
hsa-miR-544a	386-392	7mer-1A	-0.20	 96	-0.20	1.055	N/A	-2.059
hsa-miR-578	387-394	8mer	-0.21	 95	-0.21	0.031	N/A	N/A
hsa-miR-4462	395-401	7mer-1A	-0.21	 74	-0.21	0.000	N/A	N/A
hsa-miR-4504	397-403	7mer-1A	-0.14	 84	-0.14	0.016	N/A	N/A
hsa-miR-542-3p	397-403	7mer-1A	-0.03	 47	-0.03	0.481	N/A	-3.963
hsa-miR-595	400-406	7mer-m8	-0.05	 79	-0.05	0.043	N/A	N/A
hsa-miR-6513-3p	401-407	7mer-m8	-0.10	 85	-0.09	0.000	N/A	N/A
hsa-miR-125b-2-3p	403-410	8mer	-0.19	 94	-0.19	0.000	N/A	N/A
hsa-miR-4457	404-410	7mer-1A	-0.05	 63	-0.05	0.000	N/A	N/A
hsa-miR-513b-5p	404-410	7mer-m8	-0.02	 48	-0.02	0.043	N/A	-2.462
hsa-miR-337-3p	424-431	8mer	-0.29	 97	-0.29	0.043	N/A	-4.240
hsa-miR-202-5p	425-431	7mer-1A	-0.09	 70	-0.09	2.361	< 0.1	-3.518
hsa-miR-6875-3p	428-434	7mer-m8	-0.09	 81	-0.09	0.000	N/A	N/A
hsa-miR-22-5p	429-435	7mer-m8	-0.08	 72	-0.08	0.000	N/A	N/A
hsa-miR-329-3p	438-445	8mer	-0.23	 97	-0.23	0.526	N/A	-3.565
hsa-miR-362-3p	438-445	8mer	-0.23	 97	-0.23	0.526	N/A	-3.720
hsa-miR-3941	439-446	8mer	-0.07	 78	-0.07	0.000	N/A	N/A
hsa-miR-603	439-445	7mer-1A	-0.05	 78	-0.05	0.031	N/A	N/A
hsa-miR-8485	439-445	7mer-1A	-0.03	 43	-0.03	0.000	N/A	N/A
hsa-miR-466	440-446	7mer-1A	-0.03	 54	-0.03	0.000	N/A	N/A
hsa-miR-4672	440-446	7mer-1A	-0.01	 32	-0.01	0.000	N/A	N/A
hsa-miR-128-3p	447-453	7mer-m8	-0.10	 79	-0.10	0.697	< 0.1	-3.957
hsa-miR-3681-3p	447-453	7mer-m8	-0.11	 79	-0.11	0.697	< 0.1	-4.353
hsa-miR-216a-3p	447-453	7mer-m8	-0.10	 78	-0.10	0.697	< 0.1	-3.974
hsa-miR-4672	449-455	7mer-m8	-0.14	 88	-0.14	0.000	N/A	N/A
hsa-miR-6768-5p	449-455	7mer-1A	-0.04	 68	-0.04	0.000	N/A	N/A
hsa-miR-3177-5p	452-458	7mer-m8	-0.17	 64	-0.17	0.000	N/A	N/A
hsa-miR-7854-3p	456-462	7mer-1A	-0.23	 93	-0.23	0.000	N/A	N/A
hsa-miR-6134	456-462	7mer-1A	-0.15	 73	-0.14	0.016	N/A	N/A
hsa-miR-1304-5p	458-464	7mer-1A	-0.13	 80	-0.13	0.000	N/A	N/A
hsa-miR-5681b	463-469	7mer-1A	-0.13	 77	-0.13	0.000	N/A	N/A
hsa-miR-4483	466-472	7mer-m8	-0.23	 96	-0.23	0.016	N/A	N/A
