miRNA	Position in the UTR	seed match	context++ score	context++ score percentile	weighted context++ score	conserved branch length	Pct	Predicted relative KD
hsa-miR-4786-3p	142-149	8mer	-0.47	 99	-0.47	0.000	N/A	N/A
hsa-miR-7843-3p	143-149	7mer-m8	-0.37	 97	-0.37	0.000	N/A	N/A
hsa-miR-5692a	149-155	7mer-m8	-0.02	 73	-0.02	0.000	N/A	N/A
hsa-miR-1283	155-161	7mer-m8	-0.25	 96	-0.25	0.010	N/A	N/A
hsa-miR-3613-5p	161-167	7mer-m8	-0.31	 95	-0.31	0.000	N/A	-4.907
hsa-miR-576-5p	178-184	7mer-m8	-0.13	 95	-0.12	0.000	N/A	-3.403
hsa-miR-186-5p	184-190	7mer-m8	-0.05	 93	-0.05	1.307	N/A	-3.231
hsa-miR-518a-5p	187-193	7mer-m8	-0.26	 98	-0.26	0.010	N/A	N/A
hsa-miR-527	187-193	7mer-m8	-0.26	 98	-0.26	0.010	N/A	N/A
hsa-miR-144-3p	204-211	8mer	-0.32	 98	-0.32	0.131	< 0.1	-3.144
hsa-miR-101-3p.2	205-212	8mer	-0.26	 98	-0.26	1.420	< 0.1	-4.439
hsa-miR-101-3p.1	205-211	7mer-1A	-0.13	 86	-0.13	1.420	< 0.1	-2.851
hsa-miR-582-5p	206-212	7mer-1A	-0.17	 92	-0.16	1.420	N/A	-3.814
hsa-miR-600	207-213	7mer-m8	-0.17	 89	-0.16	0.010	N/A	N/A
hsa-miR-1292-5p	221-227	7mer-m8	-0.36	 98	-0.36	0.088	N/A	N/A
hsa-miR-6822-5p	222-228	7mer-m8	-0.29	 97	-0.28	0.000	N/A	N/A
hsa-miR-6750-5p	222-228	7mer-m8	-0.26	 97	-0.26	0.000	N/A	N/A
hsa-miR-5696	230-237	8mer	-0.14	 94	-0.14	0.000	N/A	N/A
hsa-miR-4729	230-236	7mer-1A	-0.05	 83	-0.04	0.000	N/A	N/A
hsa-miR-579-3p	231-237	7mer-1A	-0.07	 89	-0.06	0.088	N/A	-2.967
hsa-miR-664b-3p	231-237	7mer-1A	-0.03	 78	-0.03	0.088	N/A	-3.146
hsa-miR-664a-3p	232-238	7mer-m8	-0.06	 84	-0.06	0.088	N/A	N/A
hsa-miR-6499-3p	241-247	7mer-m8	-0.22	 96	-0.20	0.000	N/A	N/A
hsa-miR-548au-3p	243-249	7mer-1A	-0.16	 83	-0.14	0.000	N/A	N/A
hsa-miR-6815-5p	246-252	7mer-m8	-0.41	 98	-0.37	0.000	N/A	N/A
hsa-miR-6865-5p	246-252	7mer-m8	-0.40	 98	-0.36	0.000	N/A	N/A
hsa-miR-5688	262-268	7mer-m8	-0.21	 98	-0.16	0.018	N/A	N/A
hsa-miR-495-3p	262-268	7mer-m8	-0.18	 98	-0.13	0.018	N/A	-4.950
hsa-miR-5688	266-272	7mer-m8	-0.26	 99	-0.18	0.018	N/A	-4.686
hsa-miR-495-3p	266-272	7mer-m8	-0.21	 99	-0.15	0.018	N/A	N/A
hsa-miR-3613-3p	289-295	7mer-m8	-0.07	 85	-0.05	0.000	N/A	N/A
hsa-miR-548p	291-297	7mer-m8	-0.15	 95	-0.11	0.010	N/A	N/A
hsa-miR-6788-3p	298-304	7mer-1A	-0.25	 83	-0.18	0.000	N/A	N/A
hsa-miR-142-3p.2	305-311	7mer-m8	-0.15	 86	-0.10	0.918	< 0.1	-4.226
hsa-miR-4255	305-311	7mer-1A	-0.07	 76	-0.05	0.000	N/A	N/A
hsa-miR-142-3p.1	306-313	8mer	-0.56	 99	-0.38	0.644	< 0.1	-7.016
hsa-miR-6073	307-313	7mer-1A	-0.25	 94	-0.18	0.000	N/A	N/A
hsa-miR-3674	309-315	7mer-1A	-0.21	 88	-0.15	0.000	N/A	N/A
hsa-miR-6849-3p	315-321	7mer-m8	-0.29	 98	-0.21	0.000	N/A	N/A
hsa-miR-7977	317-324	8mer	-0.48	 99	-0.33	0.000	N/A	N/A
hsa-miR-4262	322-328	7mer-1A	-0.14	 92	-0.10	0.660	< 0.1	-1.943
hsa-miR-181d-5p	322-328	7mer-1A	-0.19	 91	-0.14	0.660	< 0.1	-1.783
hsa-miR-181b-5p	322-328	7mer-1A	-0.18	 90	-0.13	0.660	< 0.1	-1.783
hsa-miR-181a-5p	322-328	7mer-1A	-0.18	 90	-0.13	0.660	< 0.1	-1.833
hsa-miR-181c-5p	322-328	7mer-1A	-0.16	 88	-0.11	0.660	< 0.1	-1.833
hsa-miR-548j-3p	330-336	7mer-1A	-0.07	 95	-0.05	0.082	N/A	N/A
hsa-miR-548aq-3p	330-336	7mer-1A	-0.07	 94	-0.05	0.082	N/A	N/A
hsa-miR-548ae-3p	330-336	7mer-1A	-0.07	 94	-0.05	0.082	N/A	N/A
hsa-miR-548am-3p	330-336	7mer-1A	-0.06	 93	-0.04	0.082	N/A	N/A
hsa-miR-548ah-3p	330-336	7mer-1A	-0.06	 93	-0.04	0.082	N/A	N/A
hsa-miR-548ac	330-336	7mer-1A	-0.05	 92	-0.04	0.082	N/A	N/A
hsa-miR-548x-3p	330-336	7mer-1A	-0.05	 92	-0.03	0.082	N/A	N/A
hsa-miR-548d-3p	330-336	7mer-1A	-0.05	 92	-0.04	0.082	N/A	N/A
hsa-miR-548aj-3p	330-336	7mer-1A	-0.05	 92	-0.03	0.082	N/A	N/A
hsa-miR-548h-3p	330-336	7mer-1A	-0.04	 91	-0.03	0.082	N/A	N/A
hsa-miR-548z	330-336	7mer-1A	-0.04	 91	-0.03	0.082	N/A	N/A
hsa-miR-548bb-3p	330-336	7mer-1A	-0.03	 86	-0.02	0.082	N/A	N/A
hsa-miR-3163	332-338	7mer-1A	-0.01	 45	-0.01	0.000	N/A	-2.601
hsa-miR-340-5p	333-339	7mer-1A	-0.02	 84	-0.02	2.619	N/A	-3.400
hsa-miR-7-2-3p	339-345	7mer-m8	-0.13	 98	-0.09	0.000	N/A	N/A
hsa-miR-7-1-3p	339-345	7mer-m8	-0.14	 98	-0.10	0.000	N/A	N/A
hsa-miR-5692a	345-351	7mer-1A	-0.02	 72	-0.01	0.000	N/A	N/A
hsa-miR-1279	352-358	7mer-1A	-0.11	 92	-0.07	0.000	N/A	N/A
hsa-miR-5007-3p	353-359	7mer-1A	-0.25	 97	-0.17	0.000	N/A	N/A
hsa-miR-335-3p	355-362	8mer	-0.32	 99	-0.21	0.082	N/A	N/A
hsa-miR-3143	366-373	8mer	-0.44	 99	-0.28	0.000	N/A	N/A
hsa-miR-543	366-372	7mer-1A	-0.14	 95	-0.09	2.648	N/A	-3.013
hsa-miR-302c-5p	367-374	8mer	-0.38	 99	-0.24	0.000	N/A	N/A
hsa-miR-561-3p	372-378	7mer-m8	-0.18	 97	-0.12	0.000	N/A	N/A
hsa-miR-23b-3p	394-400	7mer-1A	-0.13	 83	-0.00	0.148	< 0.1	-2.937
hsa-miR-23a-3p	394-400	7mer-1A	-0.13	 83	-0.00	0.148	< 0.1	-2.937
hsa-miR-23c	394-400	7mer-1A	-0.13	 83	-0.00	0.148	< 0.1	-2.937
hsa-miR-130a-5p	394-400	7mer-1A	-0.10	 79	-0.00	0.148	< 0.1	-2.919
hsa-miR-6837-3p	396-402	7mer-1A	-0.17	 89	-0.00	0.000	N/A	N/A
hsa-miR-412-3p	396-402	7mer-1A	-0.16	 88	-0.00	0.088	N/A	N/A
hsa-miR-6754-3p	396-402	7mer-1A	-0.11	 82	-0.00	0.088	N/A	N/A
hsa-miR-141-5p	398-404	7mer-1A	-0.13	 84	-0.00	0.000	N/A	N/A
hsa-miR-885-5p	403-409	7mer-1A	-0.10	 84	-0.00	0.082	N/A	-2.075
hsa-miR-7151-5p	405-411	7mer-1A	-0.09	 87	-0.00	0.000	N/A	-3.284
hsa-miR-1470	416-423	8mer	-0.43	 99	-0.00	0.000	N/A	N/A
hsa-miR-4667-3p	417-423	7mer-1A	-0.13	 81	-0.00	0.000	N/A	N/A
hsa-miR-6866-3p	419-425	7mer-1A	-0.10	 86	-0.00	1.422	N/A	-1.560
hsa-miR-188-5p	419-425	7mer-1A	-0.13	 83	-0.00	1.422	N/A	-1.619
hsa-miR-3117-5p	424-430	7mer-m8	-0.18	 85	-0.00	0.000	N/A	N/A
hsa-miR-1324	427-433	7mer-1A	-0.13	 86	-0.00	0.010	N/A	N/A
hsa-miR-892c-5p	429-436	8mer	-0.21	 96	-0.00	0.010	N/A	-3.671
hsa-miR-506-5p	430-436	7mer-1A	-0.08	 78	-0.00	0.000	N/A	-2.305
hsa-miR-5681b	433-439	7mer-1A	-0.16	 84	-0.00	0.000	N/A	N/A
hsa-miR-4662a-3p	441-447	7mer-m8	-0.20	 96	-0.00	0.000	N/A	N/A
hsa-miR-5590-3p	445-451	7mer-1A	-0.09	 89	-0.00	0.104	< 0.1	-2.974
hsa-miR-340-5p	445-451	7mer-m8	-0.03	 85	-0.00	0.104	N/A	-3.639
hsa-miR-142-5p	445-451	7mer-1A	-0.04	 79	-0.00	0.104	< 0.1	-3.593
hsa-miR-499b-5p	451-457	7mer-1A	-0.22	 94	-0.00	0.000	N/A	-4.611
hsa-miR-4494	451-457	7mer-1A	-0.20	 92	-0.00	0.000	N/A	N/A
hsa-miR-3942-3p	453-459	7mer-1A	-0.07	 83	-0.00	0.000	N/A	N/A
hsa-miR-30d-3p	454-460	7mer-1A	-0.07	 84	-0.00	0.088	N/A	N/A
hsa-miR-30e-3p	454-460	7mer-1A	-0.07	 84	-0.00	0.088	N/A	N/A
hsa-miR-30a-3p	454-460	7mer-1A	-0.07	 84	-0.00	0.088	N/A	N/A
hsa-miR-627-3p	456-462	7mer-1A	-0.08	 81	-0.00	0.000	N/A	N/A
hsa-miR-2116-5p	459-465	7mer-1A	-0.12	 90	-0.00	0.000	N/A	N/A
hsa-miR-4677-5p	459-465	7mer-m8	-0.14	 89	-0.00	0.000	N/A	N/A
hsa-miR-22-5p	459-465	7mer-1A	-0.07	 70	-0.00	0.000	N/A	N/A
hsa-miR-26b-3p	460-466	7mer-m8	-0.24	 93	-0.00	0.000	N/A	N/A
hsa-miR-892c-3p	462-468	7mer-1A	-0.12	 84	-0.00	0.043	N/A	-2.324
hsa-miR-4676-3p	462-468	7mer-1A	-0.11	 83	-0.00	0.043	N/A	-2.179
hsa-miR-452-5p	462-468	7mer-1A	-0.10	 81	-0.00	0.043	N/A	-2.693
hsa-miR-1278	464-470	7mer-m8	-0.24	 93	-0.00	0.010	N/A	-4.259
hsa-miR-4291	469-476	8mer	-0.43	 99	-0.00	0.000	N/A	N/A
hsa-miR-922	469-475	7mer-1A	-0.15	 95	-0.00	0.010	N/A	N/A
hsa-miR-761	469-475	7mer-1A	-0.11	 91	-0.00	0.010	N/A	-3.311
hsa-miR-3619-5p	469-475	7mer-1A	-0.15	 89	-0.00	0.010	N/A	-4.648
hsa-miR-214-3p	469-475	7mer-1A	-0.16	 89	-0.00	0.010	N/A	-4.283
hsa-miR-6515-3p	473-479	7mer-m8	-0.17	 92	-0.00	0.000	N/A	N/A
hsa-miR-618	476-482	7mer-1A	-0.21	 96	-0.00	0.088	N/A	N/A
hsa-miR-155-3p	487-493	7mer-m8	-0.22	 87	-0.00	0.000	N/A	N/A
hsa-miR-4764-3p	491-497	7mer-m8	-0.33	 97	-0.00	0.000	N/A	N/A
hsa-miR-511-3p	502-509	8mer	-0.30	 97	-0.00	0.082	N/A	-4.435
hsa-miR-4753-5p	532-538	7mer-1A	-0.14	 79	0.00	0.000	N/A	N/A
hsa-miR-124-3p.2	533-539	7mer-1A	-0.04	 28	0.00	0.148	< 0.1	-2.257
hsa-miR-506-3p	533-539	7mer-1A	-0.01	 15	0.00	0.148	< 0.1	-2.095
hsa-miR-6809-3p	538-545	8mer	-0.10	 87	0.00	0.000	N/A	N/A
hsa-miR-4753-3p	538-544	7mer-1A	-0.01	 28	0.00	0.000	N/A	N/A
hsa-miR-6833-3p	539-545	7mer-1A	-0.01	 38	0.00	0.000	N/A	N/A
hsa-miR-4768-5p	539-545	7mer-1A	-0.01	 38	0.00	0.000	N/A	N/A
hsa-miR-6804-3p	549-555	7mer-m8	-0.08	 57	0.00	0.000	N/A	N/A
hsa-miR-483-5p	555-561	7mer-m8	-0.20	 76	0.00	0.000	N/A	-3.324
hsa-miR-6777-3p	567-573	7mer-m8	-0.04	 51	0.00	0.000	N/A	N/A
hsa-miR-4286	569-575	7mer-m8	-0.04	 56	0.00	0.000	N/A	N/A
hsa-miR-4758-3p	570-576	7mer-m8	-0.22	 91	0.00	0.000	N/A	N/A
hsa-miR-4323	571-577	7mer-m8	-0.16	 84	0.00	0.000	N/A	N/A
hsa-miR-653-5p	578-584	7mer-m8	-0.02	 35	0.00	1.232	N/A	-2.961
hsa-miR-494-3p	578-584	7mer-1A	-0.01	 33	0.00	1.232	N/A	-1.719
hsa-miR-345-3p	581-588	8mer	-0.07	 78	0.00	0.000	N/A	-4.016
hsa-miR-670-5p	582-589	8mer	-0.09	 85	0.00	0.000	N/A	-5.261
hsa-miR-4732-3p	582-588	7mer-1A	-0.05	 78	0.00	0.000	N/A	N/A
hsa-miR-4319	582-588	7mer-1A	-0.12	 76	0.00	0.265	< 0.1	-3.248
hsa-miR-125b-5p	582-588	7mer-1A	-0.08	 64	0.00	0.265	< 0.1	-2.950
hsa-miR-125a-5p	582-588	7mer-1A	-0.05	 56	0.00	0.265	< 0.1	-2.950
hsa-miR-4446-5p	584-591	8mer	-0.03	 59	0.00	0.000	N/A	N/A
hsa-miR-4755-5p	584-590	7mer-1A	-0.01	 42	0.00	0.000	N/A	N/A
hsa-miR-5006-3p	584-590	7mer-1A	-0.01	 30	0.00	0.000	N/A	N/A
hsa-miR-5003-3p	587-593	7mer-m8	-0.02	 69	0.00	0.000	N/A	N/A
hsa-miR-4769-3p	597-603	7mer-m8	-0.06	 72	0.00	0.000	N/A	N/A
hsa-miR-6817-5p	597-603	7mer-m8	-0.05	 65	0.00	0.000	N/A	N/A
hsa-miR-22-3p	599-605	7mer-m8	-0.17	 82	0.00	0.609	< 0.1	-5.641
hsa-miR-1301-3p	602-609	8mer	-0.12	 80	0.00	0.436	N/A	-6.042
hsa-miR-5047	602-609	8mer	-0.10	 77	0.00	0.436	N/A	-6.042
hsa-miR-4660	602-608	7mer-1A	-0.01	 25	0.00	0.010	N/A	N/A
hsa-miR-7156-3p	603-609	7mer-1A	-0.03	 48	0.00	0.000	N/A	N/A
hsa-miR-6516-5p	604-610	7mer-1A	-0.01	 21	0.00	0.436	N/A	N/A
hsa-miR-557	605-611	7mer-1A	-0.01	 51	0.00	0.010	N/A	N/A
hsa-miR-507	605-611	7mer-1A	-0.01	 43	0.00	0.010	N/A	N/A
hsa-miR-3680-3p	605-611	7mer-1A	-0.01	 33	0.00	0.000	N/A	N/A
hsa-miR-450b-5p	605-611	7mer-1A	-0.01	 23	0.00	0.436	N/A	-2.704
hsa-miR-19a-5p	606-612	7mer-m8	-0.02	 55	0.00	0.000	N/A	N/A
hsa-miR-19b-1-5p	606-612	7mer-m8	-0.02	 54	0.00	0.000	N/A	N/A
hsa-miR-19b-2-5p	606-612	7mer-m8	-0.02	 54	0.00	0.000	N/A	N/A
hsa-miR-323b-3p	614-621	8mer	-0.08	 78	0.00	0.000	N/A	-3.004
hsa-miR-6887-3p	619-625	7mer-m8	-0.27	 89	0.00	0.000	N/A	N/A
hsa-miR-6776-3p	624-630	7mer-m8	-0.10	 79	0.00	0.000	N/A	N/A
hsa-miR-1224-3p	632-638	7mer-m8	-0.09	 76	0.00	0.088	N/A	N/A
hsa-miR-7108-3p	646-652	7mer-m8	-0.26	 86	0.00	0.000	N/A	N/A
hsa-miR-6887-3p	652-659	8mer	-0.16	 73	0.00	0.000	N/A	N/A
hsa-miR-6795-3p	653-659	7mer-1A	-0.11	 76	0.00	0.000	N/A	N/A
hsa-miR-6826-3p	653-659	7mer-m8	-0.07	 62	0.00	0.000	N/A	N/A
hsa-miR-6887-3p	657-663	7mer-m8	-0.20	 80	0.00	0.000	N/A	N/A
hsa-miR-29a-3p	664-670	7mer-m8	-0.02	 21	0.00	0.148	< 0.1	-2.759
hsa-miR-29c-3p	664-670	7mer-m8	-0.02	 21	0.00	0.148	< 0.1	-2.652
hsa-miR-29b-3p	664-670	7mer-m8	-0.02	 20	0.00	0.148	< 0.1	-2.652
hsa-miR-3065-3p	665-672	8mer	-0.35	 98	0.00	0.000	N/A	N/A
hsa-miR-383-3p	666-672	7mer-1A	-0.01	 31	0.00	0.000	N/A	N/A
hsa-miR-6787-3p	668-674	7mer-1A	-0.08	 81	0.00	0.000	N/A	N/A
hsa-miR-6776-3p	684-690	7mer-m8	-0.22	 93	0.00	0.000	N/A	N/A
hsa-miR-497-3p	685-691	7mer-m8	-0.02	 68	0.00	0.000	N/A	N/A
hsa-miR-548ap-3p	686-692	7mer-m8	-0.02	 37	0.00	0.000	N/A	N/A
hsa-miR-548t-3p	686-692	7mer-m8	-0.02	 36	0.00	0.000	N/A	N/A
hsa-miR-548aa	686-692	7mer-m8	-0.02	 36	0.00	0.000	N/A	N/A
hsa-miR-4306	692-698	7mer-m8	-0.02	 24	0.00	0.265	N/A	-4.425
hsa-miR-4644	692-698	7mer-m8	-0.02	 24	0.00	0.265	N/A	-3.697
hsa-miR-185-5p	692-698	7mer-m8	-0.02	 23	0.00	0.265	N/A	-4.425
hsa-miR-6731-5p	693-699	7mer-m8	-0.08	 60	0.00	0.082	N/A	N/A
hsa-miR-8085	693-699	7mer-m8	-0.08	 59	0.00	0.082	N/A	N/A
hsa-miR-6760-5p	694-700	7mer-m8	-0.02	 26	0.00	0.000	N/A	N/A
hsa-miR-4419a	695-701	7mer-m8	-0.12	 66	0.00	0.010	N/A	N/A
hsa-miR-4510	695-701	7mer-m8	-0.12	 66	0.00	0.010	N/A	N/A
hsa-miR-6129	695-701	7mer-m8	-0.11	 64	0.00	0.010	N/A	N/A
hsa-miR-6130	695-701	7mer-m8	-0.11	 64	0.00	0.010	N/A	N/A
hsa-miR-6133	695-701	7mer-m8	-0.11	 63	0.00	0.010	N/A	N/A
hsa-miR-6127	695-701	7mer-m8	-0.08	 57	0.00	0.010	N/A	N/A
hsa-miR-6873-5p	696-702	7mer-m8	-0.07	 59	0.00	0.000	N/A	N/A
hsa-miR-5197-3p	699-706	8mer	-0.03	 61	0.00	0.000	N/A	N/A
hsa-miR-562	704-710	7mer-1A	-0.01	 33	0.00	0.000	N/A	N/A
hsa-miR-572	713-719	7mer-m8	-0.23	 82	0.00	0.010	N/A	N/A
hsa-miR-3138	720-726	7mer-1A	-0.13	 59	0.00	0.000	N/A	N/A
hsa-miR-4800-5p	720-726	7mer-1A	-0.08	 55	0.00	0.000	N/A	N/A
hsa-miR-6833-5p	721-727	7mer-1A	-0.01	 23	0.00	0.000	N/A	N/A
hsa-miR-4752	721-727	7mer-1A	-0.01	 20	0.00	0.000	N/A	N/A
hsa-miR-2113	723-729	7mer-1A	-0.01	 42	0.00	0.000	N/A	N/A
hsa-miR-5010-3p	723-729	7mer-1A	-0.01	 31	0.00	0.000	N/A	N/A
hsa-miR-129-5p	725-731	7mer-1A	-0.01	 47	0.00	0.148	< 0.1	-1.685
hsa-miR-153-5p	728-734	7mer-m8	-0.02	 50	0.00	0.000	N/A	N/A
hsa-miR-4310	731-738	8mer	-0.11	 92	0.00	0.000	N/A	N/A
hsa-miR-7157-5p	731-738	8mer	-0.17	 92	0.00	0.000	N/A	N/A
hsa-miR-3613-3p	753-760	8mer	-0.03	 62	0.00	0.000	N/A	N/A
hsa-miR-371b-5p	755-762	8mer	-0.03	 57	0.00	0.010	N/A	N/A
hsa-miR-373-5p	755-762	8mer	-0.03	 57	0.00	0.010	N/A	N/A
hsa-miR-616-5p	755-762	8mer	-0.03	 52	0.00	0.010	N/A	N/A
hsa-miR-371a-5p	756-762	7mer-1A	-0.01	 41	0.00	0.148	N/A	-2.947
hsa-miR-372-5p	756-762	7mer-1A	-0.01	 34	0.00	0.082	N/A	N/A
hsa-miR-6827-3p	759-766	8mer	-0.42	 93	0.00	0.000	N/A	N/A
hsa-miR-340-3p	759-766	8mer	-0.41	 92	0.00	0.000	N/A	N/A
hsa-miR-6864-3p	766-772	7mer-m8	-0.02	 53	0.00	0.000	N/A	N/A
hsa-miR-3672	766-772	7mer-m8	-0.02	 37	0.00	0.000	N/A	N/A
hsa-miR-873-3p	766-772	7mer-1A	-0.01	 30	0.00	0.000	N/A	-1.695
hsa-miR-5586-3p	770-776	7mer-m8	-0.02	 24	0.00	0.000	N/A	N/A
hsa-miR-4693-3p	771-778	8mer	-0.14	 73	0.00	0.000	N/A	N/A
hsa-miR-5586-3p	776-782	7mer-m8	-0.02	 24	0.00	0.000	N/A	N/A
hsa-miR-1273c	782-788	7mer-m8	-0.16	 81	0.00	0.000	N/A	N/A
hsa-miR-1273a	783-789	7mer-m8	-0.18	 63	0.00	0.010	N/A	N/A
hsa-miR-6729-5p	785-791	7mer-1A	-0.18	 58	0.00	0.000	N/A	N/A
hsa-miR-4649-5p	785-791	7mer-1A	-0.16	 52	0.00	0.000	N/A	N/A
hsa-miR-4486	786-792	7mer-m8	-0.05	 75	0.00	0.000	N/A	N/A
hsa-miR-939-3p	787-793	7mer-m8	-0.03	 54	0.00	0.000	N/A	N/A
hsa-miR-661	788-794	7mer-m8	-0.06	 51	0.00	0.088	N/A	N/A
hsa-miR-6849-3p	791-798	8mer	-0.03	 48	0.00	0.000	N/A	N/A
hsa-miR-6512-3p	792-798	7mer-m8	-0.02	 34	0.00	0.000	N/A	-3.791
hsa-miR-6720-5p	792-798	7mer-m8	-0.02	 34	0.00	0.000	N/A	-3.791
hsa-miR-766-3p	793-799	7mer-m8	-0.02	 43	0.00	0.010	N/A	N/A
hsa-miR-508-5p	794-800	7mer-m8	-0.02	 33	0.00	0.000	N/A	N/A
hsa-miR-7703	797-803	7mer-m8	-0.02	 41	0.00	0.000	N/A	N/A
hsa-miR-4793-3p	798-804	7mer-m8	-0.02	 36	0.00	0.000	N/A	N/A
hsa-miR-1273g-3p	801-807	7mer-m8	-0.04	 56	0.00	0.000	N/A	N/A
hsa-miR-4252	802-808	7mer-m8	-0.02	 29	0.00	0.000	N/A	N/A
hsa-miR-5186	810-817	8mer	-0.03	 46	0.00	0.000	N/A	N/A
hsa-miR-3160-3p	815-822	8mer	-0.09	 68	0.00	0.000	N/A	N/A
hsa-miR-558	816-822	7mer-1A	-0.04	 59	0.00	0.010	N/A	N/A
hsa-miR-4487	816-822	7mer-1A	-0.07	 57	0.00	0.000	N/A	N/A
hsa-miR-4670-3p	826-832	7mer-m8	-0.02	 27	0.00	0.000	N/A	N/A
hsa-miR-6087	832-838	7mer-m8	-0.19	 62	0.00	0.000	N/A	N/A
hsa-miR-1247-3p	837-843	7mer-m8	-0.15	 60	0.00	0.000	N/A	N/A
hsa-miR-4768-3p	854-860	7mer-m8	-0.02	 38	0.00	0.000	N/A	N/A
hsa-miR-4722-5p	855-861	7mer-m8	-0.07	 69	0.00	0.000	N/A	N/A
hsa-miR-940	857-863	7mer-m8	-0.12	 84	0.00	0.010	N/A	N/A
hsa-miR-6893-5p	857-863	7mer-m8	-0.08	 73	0.00	0.010	N/A	N/A
hsa-miR-6808-5p	857-863	7mer-m8	-0.07	 70	0.00	0.010	N/A	N/A
hsa-miR-1827	858-865	8mer	-0.05	 46	0.00	0.010	N/A	N/A
hsa-miR-4649-3p	860-866	7mer-m8	-0.06	 72	0.00	0.000	N/A	N/A
hsa-miR-7160-5p	861-867	7mer-m8	-0.02	 31	0.00	0.000	N/A	N/A
hsa-miR-4478	863-869	7mer-m8	-0.02	 54	0.00	0.000	N/A	N/A
hsa-miR-4419b	863-869	7mer-m8	-0.02	 54	0.00	0.000	N/A	N/A
hsa-miR-3929	863-869	7mer-m8	-0.02	 54	0.00	0.000	N/A	N/A
hsa-miR-6884-5p	864-870	7mer-m8	-0.03	 31	0.00	0.144	N/A	-4.591
